X,X.1,Edad,Genero,Generacion,RedesSociales,Tiempoinstalado,Seguidores,Tiempodeuso,Canticaracteres,TipoCaracteres,Nseguridad,Usodecontraseña,Tcambiocontraseña,Cuentahackeada,Numnotificaciones
NA,NA,18,Masculino,Centenial,4,7,500,En la noche,8,"mayúsculas, minúsculas, números",4,,1,Si,10
NA,NA,19,Masculino,Centenial,2,4,600,En la noche,9,"minúsculas, números",3,,60,No,15
NA,NA,18,Femenino,Centenial,4,3,75,En la noche,8,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,,30,No,15
NA,NA,20,Masculino,Centenial,5,9,100,En la noche,10,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,,300,No,20
NA,NA,46,Femenino,GX,7,20,250,En la noche,10,"mayúsculas, minúsculas, números",3,,7,No,30
NA,NA,20,Masculino,Centenial,4,2,2,En la mañana,5,mayúsculas,1,No,30,No,2
NA,NA,18,Femenino,Centenial,4,5,276,En la noche,8,números,4,Si,3,No,0
NA,NA,21,Masculino,Centenial,7,8,300,En la noche,12,"mayúsculas, minúsculas, números",4,Si,365,No,20
NA,NA,19,Masculino,Centenial,2,8,450,En la tarde,9,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,Si,365,No,100
NA,NA,21,Masculino,Centenial,8,8.5,350,En la noche,13,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,Si,365,No,25
NA,NA,23,Masculino,Centenial,8,8,300,En la tarde,9,"mayúsculas, minúsculas, números",4,No,60,No,9
NA,NA,19,Femenino,Centenial,6,6,318,En la noche,10,"mayúsculas, minúsculas, números",2,No,1000,No,10
NA,NA,20,Femenino,Centenial,10,7,730,En la noche,8,minúsculas,4,Si,0,No,10
NA,NA,18,Masculino,Centenial,8,8,25,En la tarde,41,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,No,7,No,15
NA,NA,18,Femenino,Centenial,3,9.5,200,En la tarde,12,"minúsculas, símbolos(ejemplo: *;#;%,etc.), números",2,Si,120,Si,2
NA,NA,19,Femenino,Centenial,5,5,180,En la tarde,9,"mayúsculas, minúsculas, números",5,Si,30,No,6
NA,NA,18,Femenino,Centenial,6,12,100,En la tarde,10,"símbolos(ejemplo: *;#;%,etc.)",4,Si,90,Si,0
NA,NA,19,Femenino,Centenial,6,10,720,En la noche,10,mayúsculas,3,Si,60,No,10
NA,NA,19,Femenino,Centenial,7,6,100,En la tarde,14,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,0,No,10
NA,NA,19,Femenino,Centenial,5,5,200,En la noche,10,"mayúsculas, minúsculas, números",3,Si,90,No,15
NA,NA,28,Femenino,Milenial,4,19,150,En la noche,8,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,Si,0,No,10
NA,NA,19,Femenino,Centenial,4,7,118,En la tarde,8,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,60,Si,1
NA,NA,19,Masculino,Centenial,5,5,20,En la noche,9,"minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,2,No,10
NA,NA,19,Masculino,Centenial,4,12,30,En la noche,9,números,5,Si,60,No,2
NA,NA,19,Femenino,Centenial,5,5,93,En la noche,8,"minúsculas, números",3,Si,3,No,5
NA,NA,18,Femenino,Centenial,8,5,216,En la noche,11,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,No,30,No,11
NA,NA,20,Femenino,Centenial,10,10,2451,En la tarde,13,"minúsculas, números",4,Si,7,No,10
NA,NA,20,Femenino,Centenial,7,8.5,150,En la noche,8,"minúsculas, números",4,Si,2,No,5
NA,NA,19,Femenino,Centenial,6,8,400,En la tarde,10,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",3,Si,70,No,20
NA,NA,20,Femenino,Centenial,7,8.5,150,En la noche,8,"minúsculas, números",4,No,2,No,5
NA,NA,19,Masculino,Centenial,5,5,114,En la noche,6,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,Si,10,No,4
NA,NA,20,Masculino,Centenial,3,4,10,En la tarde,7,minúsculas,2,No,40,No,17
NA,NA,18,Femenino,Centenial,2,7,50,En la mañana,7,"minúsculas, números",4,No,150,No,2
NA,NA,21,Masculino,Centenial,3,10,200,En la noche,9,"minúsculas, números",3,Si,0,No,1
NA,NA,18,Femenino,Centenial,9,5,90,En la noche,12,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,500,No,1
NA,NA,17,Masculino,Centenial,6,5,6,En la noche,10,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,100,No,58
NA,NA,18,Femenino,Centenial,11,8,81,En la noche,12,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",3,Si,60,No,2
NA,NA,19,Masculino,Centenial,8,7,120,En la noche,20,"mayúsculas, minúsculas, números",4,No,30,No,12
NA,NA,18,Femenino,Centenial,5,5,65,En la tarde,5,"mayúsculas, símbolos(ejemplo: *;#;%,etc.)",3,No,30,No,6
NA,NA,21,Femenino,Centenial,4,8,420,En la noche,8,"minúsculas, símbolos(ejemplo: *;#;%,etc.), números",3,Si,30,Si,20
NA,NA,44,Femenino,GX,5,13,100,En la noche,10,minúsculas,4,No,6,No,12
NA,NA,18,Masculino,Centenial,9,6,220,En la noche,8,minúsculas,4,Si,30,No,15
NA,NA,23,Femenino,Centenial,5,13,100,En la noche,6,"símbolos(ejemplo: *;#;%,etc.)",5,No,10,Si,20
NA,NA,21,Masculino,Centenial,7,8,368,En la noche,10,"minúsculas, números",3,Si,60,No,8
NA,NA,18,Masculino,Centenial,12,6,500,En la noche,14,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",3,Si,100,No,40
NA,NA,22,Femenino,Centenial,4,8,1015,En la noche,9,"mayúsculas, minúsculas",2,Si,0,No,8
NA,NA,18,Femenino,GX,9,1.1,1000000,En la tarde,32,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,No,1,Si,1000
NA,NA,18,Femenino,Centenial,4,5,340,En la noche,9,"mayúsculas, minúsculas, números",4,Si,60,Si,15
NA,NA,17,Femenino,Centenial,5,7,300,En la noche,8,"mayúsculas, minúsculas, números",5,No,120,No,8
NA,NA,16,Masculino,Centenial,3,4,120,En la noche,13,"minúsculas, números",5,No,180,No,7
NA,NA,26,Femenino,Centenial,5,6,625,En la noche,5,mayúsculas,5,Si,1,Si,10
NA,NA,18,Femenino,Centenial,5,7,200,En la tarde,10,"mayúsculas, minúsculas, números",4,Si,90,No,20
NA,NA,18,Masculino,Centenial,2,6.5,110,En la tarde,11,minúsculas,3,Si,150,No,15
NA,NA,25,Masculino,Centenial,11,6,100,En la noche,13,"símbolos(ejemplo: *;#;%,etc.)",4,No,4,No,100
NA,NA,18,Femenino,Centenial,5,5,180,En la noche,8,minúsculas,4,Si,30,No,5
NA,NA,22,Masculino,Centenial,3,10,2000,En la tarde,5,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",3,Si,10,No,10
NA,NA,18,Masculino,Centenial,6,10,300,En la tarde,8,"minúsculas, números",2,Si,30,No,10
NA,NA,18,Femenino,Centenial,3,6,25,En la noche,8,"minúsculas, números",3,No,30,No,1
NA,NA,16,Femenino,Centenial,9,12,311,En la noche,15,"minúsculas, números",3,Si,20,No,8
NA,NA,21,Masculino,Centenial,5,5,120,En la noche,5,"símbolos(ejemplo: *;#;%,etc.)",5,No,60,No,6
NA,NA,19,Masculino,Centenial,8,9,290,En la tarde,12,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,Si,30,No,12
NA,NA,23,Masculino,Centenial,4,15,150,En la noche,16,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,No,180,No,12
NA,NA,19,Femenino,Centenial,11,7,180,En la tarde,21,"mayúsculas, minúsculas, números",4,No,30,No,15
NA,NA,19,Masculino,Centenial,12,10,586,En la mañana,8,"minúsculas, números",5,Si,365,No,40
NA,NA,30,Femenino,Milenial,3,5,1000,En la noche,6,"símbolos(ejemplo: *;#;%,etc.)",5,Si,6,No,10
NA,NA,19,Masculino,Centenial,3,11,73,En la tarde,17,"minúsculas, números",4,Si,0,No,20
NA,NA,19,Femenino,Centenial,5,10,650,En la noche,8,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",3,Si,30,No,10
NA,NA,19,Masculino,Centenial,6,10,242,En la mañana,8,"minúsculas, números",4,Si,365,No,6
NA,NA,22,Masculino,Centenial,7,11,200,En la noche,20,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,No,365,Si,10
NA,NA,16,Femenino,Centenial,6,3,493,En la tarde,12,minúsculas,5,Si,6,No,4
NA,NA,19,Masculino,Centenial,2,10,188,En la noche,15,"mayúsculas, minúsculas, números",3,Si,6,Si,100
NA,NA,23,Masculino,Centenial,4,14,200,En la noche,8,"mayúsculas, minúsculas, números",4,Si,3,No,7
NA,NA,21,Femenino,Centenial,2,6,300,En la tarde,8,minúsculas,4,Si,0,No,2
NA,NA,17,Femenino,Centenial,11,6.5,100,En la tarde,15,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",3,No,15,No,20
NA,NA,17,Femenino,Centenial,6,4,25,En la tarde,7,"mayúsculas, minúsculas, números",5,No,365,Si,5
NA,NA,18,Masculino,Centenial,5,9,183,En la tarde,8,"minúsculas, números",4,Si,120,No,14
NA,NA,20,Femenino,Centenial,6,8,1100,En la noche,10,"símbolos(ejemplo: *;#;%,etc.)",3,Si,360,Si,3
NA,NA,19,Masculino,Centenial,8,10,118,En la noche,12,"mayúsculas, minúsculas, números",3,No,180,No,15
NA,NA,17,Masculino,Centenial,4,9,262,En la noche,8,"minúsculas, números",3,Si,2,No,3
NA,NA,18,Femenino,Centenial,5,5,230,En la noche,10,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,365,No,10
NA,NA,18,Masculino,Centenial,6,8,2700,En la tarde,18,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,Si,30,No,10
NA,NA,19,Femenino,Centenial,10,7,401,En la tarde,15,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",3,Si,30,Si,6
NA,NA,18,Masculino,Centenial,7,10,140,En la noche,10,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,Si,200,No,10
NA,NA,53,Femenino,GX,7,5,275,En la noche,4,"mayúsculas, minúsculas",2,Si,2,No,2
NA,NA,18,Femenino,Centenial,5,10,120,En la tarde,9,"mayúsculas, minúsculas, números",4,Si,100,No,20
NA,NA,19,Femenino,Centenial,2,5,300,En la mañana,11,"mayúsculas, minúsculas",3,Si,30,No,10
NA,NA,53,Masculino,GX,1,5,1,En la noche,7,"mayúsculas, símbolos(ejemplo: *;#;%,etc.)",4,Si,60,No,10
NA,NA,28,Femenino,Milenial,5,13,251,En la noche,12,"mayúsculas, minúsculas, números",4,Si,60,No,20
NA,NA,18,Masculino,Centenial,3,10,150,En la noche,11,minúsculas,3,Si,365,No,20
NA,NA,34,Femenino,Milenial,3,19,800,En la noche,12,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,No,1,No,10
NA,NA,56,Masculino,GX,5,15,50,En la noche,10,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,Si,60,No,2
NA,NA,52,Masculino,GX,4,6,100,En la noche,8,"símbolos(ejemplo: *;#;%,etc.), números",3,Si,2,No,5
NA,NA,18,Masculino,Centenial,4,10,180,En la noche,8,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,No,150,Si,9
NA,NA,51,Femenino,GX,6,14,300,En la noche,6,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,15,No,8
NA,NA,47,Femenino,GX,5,8,300,En la noche,7,"mayúsculas, minúsculas, números",3,No,180,No,7
NA,NA,52,Femenino,GX,3,5,600,En la noche,8,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,Si,90,No,6
NA,NA,57,Masculino,GX,3,10,180,En la noche,6,"símbolos(ejemplo: *;#;%,etc.)",3,No,100,No,3
NA,NA,37,Femenino,Milenial,5,22,1200,En la noche,6,"mayúsculas, minúsculas, números",5,No,1,No,2
NA,NA,46,Masculino,GX,12,15,1000,En la mañana,8,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",3,Si,150,No,20
NA,NA,19,Femenino,Centenial,3,4,130,En la noche,5,"minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,No,3,No,5
NA,NA,22,Masculino,Centenial,3,10,500,En la noche,10,minúsculas,5,Si,360,No,10
NA,NA,22,Masculino,Centenial,5,10,250,En la noche,8,"mayúsculas, minúsculas, números",3,Si,2000,No,10
NA,NA,27,Masculino,Centenial,2,6,200,En la noche,7,mayúsculas,4,No,6,No,5
NA,NA,44,Femenino,GX,2,8,200,En la noche,8,"mayúsculas, minúsculas, números",3,Si,365,No,15
NA,NA,53,Femenino,GX,3,10,100,En la noche,8,"símbolos(ejemplo: *;#;%,etc.)",3,No,200,No,5
NA,NA,19,Femenino,Centenial,6,8,400,En la noche,8,"mayúsculas, minúsculas, números",4,No,3,No,9
NA,NA,26,Masculino,Centenial,5,5,500,En la mañana,10,mayúsculas,5,No,1,No,20
NA,NA,42,Masculino,GX,5,4.5,1400,En la noche,14,"mayúsculas, minúsculas, números",5,No,5,Si,5
NA,NA,46,Masculino,GX,5,14,500,En la mañana,14,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,Si,60,No,20
NA,NA,35,Femenino,Milenial,6,9,300,En la tarde,8,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,6,No,10
NA,NA,42,Masculino,Milenial,4,13,2400,En la tarde,11,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,No,180,No,10
NA,NA,19,Masculino,Centenial,2,3,100,En la noche,8,"mayúsculas, minúsculas, números",4,Si,30,No,2
NA,NA,46,Masculino,GX,3,15,45,En la noche,6,"mayúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,No,28,No,2
NA,NA,41,Femenino,Milenial,9,15,500,En la noche,8,"minúsculas, números",3,No,30,No,5
NA,NA,16,Femenino,Centenial,4,14,90,En la tarde,9,"mayúsculas, símbolos(ejemplo: *;#;%,etc.)",3,Si,2,No,3
NA,NA,21,Masculino,Centenial,5,13,200,En la tarde,8,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,0,Si,69
NA,NA,19,Masculino,Centenial,2,9,240,En la noche,10,"minúsculas, números",3,Si,365,No,6
NA,NA,19,Femenino,Centenial,4,9,620,En la noche,8,"mayúsculas, minúsculas, números",4,No,1,No,8
NA,NA,18,Femenino,Centenial,3,6,500,En la noche,8,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,10,No,3
NA,NA,20,Femenino,Centenial,4,6,80,En la noche,21,"mayúsculas, minúsculas, números",4,Si,7,No,12
NA,NA,18,Masculino,Centenial,4,6,110,En la tarde,10,"mayúsculas, símbolos(ejemplo: *;#;%,etc.)",3,Si,60,No,20
NA,NA,19,Masculino,Centenial,3,6,100,En la noche,14,"mayúsculas, minúsculas, números",4,Si,30,No,10
NA,NA,19,Masculino,Centenial,6,13,140,En la tarde,14,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",5,No,30,No,10
NA,NA,51,Masculino,GX,4,11,973,En la noche,6,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,Si,30,No,6
NA,NA,46,Masculino,GX,4,15,1000,En la noche,10,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",4,No,90,Si,5
NA,NA,48,Masculino,GX,3,18,200,En la tarde,10,"mayúsculas, minúsculas, símbolos(ejemplo: *;#;%,etc.), números",3,Si,180,Si,10
NA,NA,20,Femenino,Centenial,4,10,65156,En la tarde,11,"minúsculas, números",4,Si,2,No,5
