Año,Mes,Periodo,Infraestructura,Aeropuerto,Tipo de Pasajero,Nro Pasajeros
2019,Enero,201901,AAP,Arequipa,NACIONAL,"134,472"
2019,Enero,201901,AAP,Ayacucho,NACIONAL,"18,570"
2019,Enero,201901,AAP,Juliaca,INTERNACIONAL,12
2019,Enero,201901,AAP,Juliaca,NACIONAL,"35,696"
2019,Enero,201901,AAP,Puerto Maldonado,NACIONAL,"22,916"
2019,Enero,201901,AAP,Tacna,NACIONAL,"36,957"
2019,Enero,201901,ADP,Cajamarca,NACIONAL,"23,353"
2019,Enero,201901,ADP,Chachapoyas,NACIONAL,"2,048"
2019,Enero,201901,ADP,Chiclayo,INTERNACIONAL,"1,439"
2019,Enero,201901,ADP,Chiclayo,NACIONAL,"46,198"
2019,Enero,201901,ADP,Huaraz-Anta,NACIONAL,58
2019,Enero,201901,ADP,Iquitos,INTERNACIONAL,11
2019,Enero,201901,ADP,Iquitos,NACIONAL,"110,099"
2019,Enero,201901,ADP,Pisco,INTERNACIONAL,40
2019,Enero,201901,ADP,Pisco,NACIONAL,"3,219"
2019,Enero,201901,ADP,Piura,INTERNACIONAL,53
2019,Enero,201901,ADP,Piura,NACIONAL,"88,756"
2019,Enero,201901,ADP,Pucallpa,NACIONAL,"58,196"
2019,Enero,201901,ADP,Talara,INTERNACIONAL,6
2019,Enero,201901,ADP,Talara,NACIONAL,"36,004"
2019,Enero,201901,ADP,Tarapoto,INTERNACIONAL,8
2019,Enero,201901,ADP,Tarapoto,NACIONAL,"73,011"
2019,Enero,201901,ADP,Trujillo,INTERNACIONAL,18
2019,Enero,201901,ADP,Trujillo,NACIONAL,"53,365"
2019,Enero,201901,ADP,Tumbes,INTERNACIONAL,41
2019,Enero,201901,ADP,Tumbes,NACIONAL,"21,235"
2019,Enero,201901,COR,Andahuaylas,NACIONAL,36
2019,Enero,201901,COR,Atalaya,NACIONAL,"2,002"
2019,Enero,201901,COR,Cusco,INTERNACIONAL,"11,555"
2019,Enero,201901,COR,Cusco,NACIONAL,"276,727"
2019,Enero,201901,COR,Huánuco,NACIONAL,"2,264"
2019,Enero,201901,COR,Jaén,NACIONAL,"26,252"
2019,Enero,201901,COR,Jauja,NACIONAL,"14,724"
2019,Enero,201901,COR,Mazamari,NACIONAL,8
2019,Enero,201901,COR,Nazca,NACIONAL,"15,141"
2019,Enero,201901,COR,Tingo María,NACIONAL,"2,184"
2019,Enero,201901,COR,Tocache,NACIONAL,29
2019,Enero,201901,COR,Yurimaguas,NACIONAL,"1,474"
2019,Enero,201901,LAP,Lima,INTERNACIONAL,"702,772"
2019,Enero,201901,LAP,Lima,NACIONAL,"1,011,189"
2019,Enero,201901,LAP,Lima,TRANSFERENCIA Y TRANSITO,"197,349"
2019,Febrero,201902,AAP,Arequipa,INTERNACIONAL,136
2019,Febrero,201902,AAP,Arequipa,NACIONAL,"134,809"
2019,Febrero,201902,AAP,Ayacucho,NACIONAL,"19,584"
2019,Febrero,201902,AAP,Juliaca,INTERNACIONAL,2
2019,Febrero,201902,AAP,Juliaca,NACIONAL,"37,366"
2019,Febrero,201902,AAP,Puerto Maldonado,NACIONAL,"22,173"
2019,Febrero,201902,AAP,Tacna,INTERNACIONAL,2
2019,Febrero,201902,AAP,Tacna,NACIONAL,"33,133"
2019,Febrero,201902,ADP,Cajamarca,NACIONAL,"21,345"
2019,Febrero,201902,ADP,Chachapoyas,NACIONAL,"1,703"
2019,Febrero,201902,ADP,Chiclayo,INTERNACIONAL,"1,307"
2019,Febrero,201902,ADP,Chiclayo,NACIONAL,"45,995"
2019,Febrero,201902,ADP,Huaraz-Anta,NACIONAL,61
2019,Febrero,201902,ADP,Iquitos,INTERNACIONAL,17
2019,Febrero,201902,ADP,Iquitos,NACIONAL,"98,938"
2019,Febrero,201902,ADP,Pisco,INTERNACIONAL,30
2019,Febrero,201902,ADP,Pisco,NACIONAL,"4,415"
2019,Febrero,201902,ADP,Piura,INTERNACIONAL,28
2019,Febrero,201902,ADP,Piura,NACIONAL,"80,730"
2019,Febrero,201902,ADP,Pucallpa,INTERNACIONAL,4
2019,Febrero,201902,ADP,Pucallpa,NACIONAL,"55,414"
2019,Febrero,201902,ADP,Talara,INTERNACIONAL,3
2019,Febrero,201902,ADP,Talara,NACIONAL,"32,464"
2019,Febrero,201902,ADP,Tarapoto,NACIONAL,"69,455"
2019,Febrero,201902,ADP,Trujillo,INTERNACIONAL,12
2019,Febrero,201902,ADP,Trujillo,NACIONAL,"50,870"
2019,Febrero,201902,ADP,Tumbes,INTERNACIONAL,43
2019,Febrero,201902,ADP,Tumbes,NACIONAL,"20,528"
2019,Febrero,201902,COR,Andahuaylas,NACIONAL,8
2019,Febrero,201902,COR,Atalaya,NACIONAL,"1,863"
2019,Febrero,201902,COR,Cusco,INTERNACIONAL,"9,881"
2019,Febrero,201902,COR,Cusco,NACIONAL,"253,878"
2019,Febrero,201902,COR,Huánuco,NACIONAL,"2,965"
2019,Febrero,201902,COR,Ilo,NACIONAL,"1,328"
2019,Febrero,201902,COR,Jaén,NACIONAL,"23,564"
2019,Febrero,201902,COR,Jauja,NACIONAL,"16,161"
2019,Febrero,201902,COR,Mazamari,NACIONAL,8
2019,Febrero,201902,COR,Nazca,NACIONAL,"11,413"
2019,Febrero,201902,COR,Rioja,NACIONAL,11
2019,Febrero,201902,COR,Tingo María,NACIONAL,"2,140"
2019,Febrero,201902,COR,Tocache,NACIONAL,109
2019,Febrero,201902,COR,Yurimaguas,NACIONAL,"1,216"
2019,Febrero,201902,LAP,Lima,INTERNACIONAL,"647,640"
2019,Febrero,201902,LAP,Lima,NACIONAL,"961,141"
2019,Febrero,201902,LAP,Lima,TRANSFERENCIA Y TRANSITO,"175,803"
2019,Marzo,201903,AAP,Arequipa,INTERNACIONAL,92
2019,Marzo,201903,AAP,Arequipa,NACIONAL,"141,471"
2019,Marzo,201903,AAP,Ayacucho,NACIONAL,"21,406"
2019,Marzo,201903,AAP,Juliaca,NACIONAL,"36,687"
2019,Marzo,201903,AAP,Puerto Maldonado,NACIONAL,"24,064"
2019,Marzo,201903,AAP,Tacna,INTERNACIONAL,1
2019,Marzo,201903,AAP,Tacna,NACIONAL,"33,782"
2019,Marzo,201903,ADP,Cajamarca,NACIONAL,"25,065"
2019,Marzo,201903,ADP,Chachapoyas,NACIONAL,"1,493"
2019,Marzo,201903,ADP,Chiclayo,INTERNACIONAL,"1,203"
2019,Marzo,201903,ADP,Chiclayo,NACIONAL,"49,584"
2019,Marzo,201903,ADP,Huaraz-Anta,NACIONAL,48
2019,Marzo,201903,ADP,Iquitos,INTERNACIONAL,24
2019,Marzo,201903,ADP,Iquitos,NACIONAL,"100,148"
2019,Marzo,201903,ADP,Pisco,INTERNACIONAL,58
2019,Marzo,201903,ADP,Pisco,NACIONAL,"5,574"
2019,Marzo,201903,ADP,Piura,INTERNACIONAL,19
2019,Marzo,201903,ADP,Piura,NACIONAL,"76,774"
2019,Marzo,201903,ADP,Pucallpa,NACIONAL,"58,787"
2019,Marzo,201903,ADP,Talara,INTERNACIONAL,6
2019,Marzo,201903,ADP,Talara,NACIONAL,"28,255"
2019,Marzo,201903,ADP,Tarapoto,NACIONAL,"67,980"
2019,Marzo,201903,ADP,Trujillo,INTERNACIONAL,11
2019,Marzo,201903,ADP,Trujillo,NACIONAL,"51,784"
2019,Marzo,201903,ADP,Tumbes,INTERNACIONAL,36
2019,Marzo,201903,ADP,Tumbes,NACIONAL,"21,378"
2019,Marzo,201903,COR,Andahuaylas,NACIONAL,4
2019,Marzo,201903,COR,Atalaya,NACIONAL,"2,174"
2019,Marzo,201903,COR,Cusco,INTERNACIONAL,"10,894"
2019,Marzo,201903,COR,Cusco,NACIONAL,"270,770"
2019,Marzo,201903,COR,Huánuco,NACIONAL,"3,709"
2019,Marzo,201903,COR,Ilo,NACIONAL,"2,138"
2019,Marzo,201903,COR,Jaén,NACIONAL,"22,780"
2019,Marzo,201903,COR,Jauja,NACIONAL,"19,463"
2019,Marzo,201903,COR,Mazamari,NACIONAL,6
2019,Marzo,201903,COR,Nazca,NACIONAL,"12,148"
2019,Marzo,201903,COR,Tingo María,NACIONAL,"1,968"
2019,Marzo,201903,COR,Tocache,NACIONAL,59
2019,Marzo,201903,COR,Yurimaguas,NACIONAL,"1,503"
2019,Marzo,201903,LAP,Lima,INTERNACIONAL,"687,584"
2019,Marzo,201903,LAP,Lima,NACIONAL,"979,025"
2019,Marzo,201903,LAP,Lima,TRANSFERENCIA Y TRANSITO,"178,657"
2019,Abril,201904,AAP,Arequipa,INTERNACIONAL,"1,083"
2019,Abril,201904,AAP,Arequipa,NACIONAL,"158,033"
2019,Abril,201904,AAP,Ayacucho,NACIONAL,"20,771"
2019,Abril,201904,AAP,Juliaca,NACIONAL,"34,488"
2019,Abril,201904,AAP,Puerto Maldonado,INTERNACIONAL,37
2019,Abril,201904,AAP,Puerto Maldonado,NACIONAL,"26,077"
2019,Abril,201904,AAP,Tacna,INTERNACIONAL,2
2019,Abril,201904,AAP,Tacna,NACIONAL,"34,668"
2019,Abril,201904,ADP,Cajamarca,NACIONAL,"31,496"
2019,Abril,201904,ADP,Chachapoyas,NACIONAL,"1,323"
2019,Abril,201904,ADP,Chiclayo,INTERNACIONAL,"1,028"
2019,Abril,201904,ADP,Chiclayo,NACIONAL,"50,085"
2019,Abril,201904,ADP,Huaraz-Anta,NACIONAL,60
2019,Abril,201904,ADP,Iquitos,INTERNACIONAL,2
2019,Abril,201904,ADP,Iquitos,NACIONAL,"92,195"
2019,Abril,201904,ADP,Pisco,INTERNACIONAL,42
2019,Abril,201904,ADP,Pisco,NACIONAL,"4,661"
2019,Abril,201904,ADP,Piura,INTERNACIONAL,28
2019,Abril,201904,ADP,Piura,NACIONAL,"82,603"
2019,Abril,201904,ADP,Pucallpa,NACIONAL,"53,468"
2019,Abril,201904,ADP,Talara,NACIONAL,"23,718"
2019,Abril,201904,ADP,Tarapoto,INTERNACIONAL,12
2019,Abril,201904,ADP,Tarapoto,NACIONAL,"69,050"
2019,Abril,201904,ADP,Trujillo,INTERNACIONAL,2
2019,Abril,201904,ADP,Trujillo,NACIONAL,"44,470"
2019,Abril,201904,ADP,Tumbes,INTERNACIONAL,21
2019,Abril,201904,ADP,Tumbes,NACIONAL,"17,884"
2019,Abril,201904,COR,Atalaya,NACIONAL,"2,031"
2019,Abril,201904,COR,Cusco,INTERNACIONAL,"10,494"
2019,Abril,201904,COR,Cusco,NACIONAL,"302,413"
2019,Abril,201904,COR,Huánuco,NACIONAL,"3,178"
2019,Abril,201904,COR,Ilo,NACIONAL,"3,341"
2019,Abril,201904,COR,Jaén,NACIONAL,"21,976"
2019,Abril,201904,COR,Jauja,NACIONAL,"18,850"
2019,Abril,201904,COR,Nazca,NACIONAL,"17,962"
2019,Abril,201904,COR,Rioja,NACIONAL,12
2019,Abril,201904,COR,Tingo María,NACIONAL,"1,478"
2019,Abril,201904,COR,Tocache,NACIONAL,97
2019,Abril,201904,COR,Yurimaguas,NACIONAL,"1,384"
2019,Abril,201904,LAP,Lima,INTERNACIONAL,"683,564"
2019,Abril,201904,LAP,Lima,NACIONAL,"1,004,724"
2019,Abril,201904,LAP,Lima,TRANSFERENCIA Y TRANSITO,"148,858"
2019,Mayo,201905,AAP,Arequipa,INTERNACIONAL,"1,640"
2019,Mayo,201905,AAP,Arequipa,NACIONAL,"179,930"
2019,Mayo,201905,AAP,Ayacucho,NACIONAL,"21,980"
2019,Mayo,201905,AAP,Juliaca,NACIONAL,"38,788"
2019,Mayo,201905,AAP,Puerto Maldonado,NACIONAL,"27,506"
2019,Mayo,201905,AAP,Tacna,INTERNACIONAL,2
2019,Mayo,201905,AAP,Tacna,NACIONAL,"41,181"
2019,Mayo,201905,ADP,Cajamarca,NACIONAL,"42,166"
2019,Mayo,201905,ADP,Chachapoyas,NACIONAL,"1,529"
2019,Mayo,201905,ADP,Chiclayo,INTERNACIONAL,"1,172"
2019,Mayo,201905,ADP,Chiclayo,NACIONAL,"59,314"
2019,Mayo,201905,ADP,Huaraz-Anta,INTERNACIONAL,2
2019,Mayo,201905,ADP,Huaraz-Anta,NACIONAL,34
2019,Mayo,201905,ADP,Iquitos,INTERNACIONAL,17
2019,Mayo,201905,ADP,Iquitos,NACIONAL,"90,386"
2019,Mayo,201905,ADP,Pisco,INTERNACIONAL,6
2019,Mayo,201905,ADP,Pisco,NACIONAL,"4,922"
2019,Mayo,201905,ADP,Piura,INTERNACIONAL,38
2019,Mayo,201905,ADP,Piura,NACIONAL,"95,611"
2019,Mayo,201905,ADP,Pucallpa,NACIONAL,"56,225"
2019,Mayo,201905,ADP,Talara,NACIONAL,"24,224"
2019,Mayo,201905,ADP,Tarapoto,NACIONAL,"77,277"
2019,Mayo,201905,ADP,Trujillo,INTERNACIONAL,1
2019,Mayo,201905,ADP,Trujillo,NACIONAL,"57,193"
2019,Mayo,201905,ADP,Tumbes,INTERNACIONAL,43
2019,Mayo,201905,ADP,Tumbes,NACIONAL,"17,844"
2019,Mayo,201905,COR,Andahuaylas,NACIONAL,8
2019,Mayo,201905,COR,Atalaya,NACIONAL,"1,809"
2019,Mayo,201905,COR,Cusco,INTERNACIONAL,"10,394"
2019,Mayo,201905,COR,Cusco,NACIONAL,"331,644"
2019,Mayo,201905,COR,Huánuco,NACIONAL,"3,384"
2019,Mayo,201905,COR,Ilo,NACIONAL,"3,461"
2019,Mayo,201905,COR,Jaén,NACIONAL,"25,594"
2019,Mayo,201905,COR,Jauja,NACIONAL,"21,558"
2019,Mayo,201905,COR,Nazca,NACIONAL,"15,568"
2019,Mayo,201905,COR,Rioja,NACIONAL,6
2019,Mayo,201905,COR,Tingo María,NACIONAL,"1,507"
2019,Mayo,201905,COR,Tocache,NACIONAL,96
2019,Mayo,201905,COR,Yurimaguas,NACIONAL,"1,507"
2019,Mayo,201905,LAP,Lima,INTERNACIONAL,"732,900"
2019,Mayo,201905,LAP,Lima,NACIONAL,"1,133,050"
2019,Mayo,201905,LAP,Lima,TRANSFERENCIA Y TRANSITO,"156,225"
2019,Junio,201906,AAP,Arequipa,INTERNACIONAL,"1,858"
2019,Junio,201906,AAP,Arequipa,NACIONAL,"164,620"
2019,Junio,201906,AAP,Ayacucho,NACIONAL,"20,897"
2019,Junio,201906,AAP,Juliaca,INTERNACIONAL,5
2019,Junio,201906,AAP,Juliaca,NACIONAL,"35,859"
2019,Junio,201906,AAP,Puerto Maldonado,INTERNACIONAL,14
2019,Junio,201906,AAP,Puerto Maldonado,NACIONAL,"26,097"
2019,Junio,201906,AAP,Tacna,INTERNACIONAL,3
2019,Junio,201906,AAP,Tacna,NACIONAL,"42,380"
2019,Junio,201906,ADP,Cajamarca,NACIONAL,"43,376"
2019,Junio,201906,ADP,Chachapoyas,NACIONAL,"1,875"
2019,Junio,201906,ADP,Chiclayo,INTERNACIONAL,999
2019,Junio,201906,ADP,Chiclayo,NACIONAL,"60,699"
2019,Junio,201906,ADP,Huaraz-Anta,NACIONAL,51
2019,Junio,201906,ADP,Iquitos,INTERNACIONAL,4
2019,Junio,201906,ADP,Iquitos,NACIONAL,"90,423"
2019,Junio,201906,ADP,Pisco,INTERNACIONAL,29
2019,Junio,201906,ADP,Pisco,NACIONAL,"4,365"
2019,Junio,201906,ADP,Piura,INTERNACIONAL,22
2019,Junio,201906,ADP,Piura,NACIONAL,"90,007"
2019,Junio,201906,ADP,Pucallpa,NACIONAL,"58,700"
2019,Junio,201906,ADP,Talara,INTERNACIONAL,2
2019,Junio,201906,ADP,Talara,NACIONAL,"22,387"
2019,Junio,201906,ADP,Tarapoto,NACIONAL,"79,275"
2019,Junio,201906,ADP,Trujillo,INTERNACIONAL,32
2019,Junio,201906,ADP,Trujillo,NACIONAL,"52,525"
2019,Junio,201906,ADP,Tumbes,INTERNACIONAL,22
2019,Junio,201906,ADP,Tumbes,NACIONAL,"16,533"
2019,Junio,201906,COR,Atalaya,NACIONAL,"2,063"
2019,Junio,201906,COR,Cusco,INTERNACIONAL,"10,097"
2019,Junio,201906,COR,Cusco,NACIONAL,"313,270"
2019,Junio,201906,COR,Huánuco,NACIONAL,"3,963"
2019,Junio,201906,COR,Ilo,NACIONAL,"2,527"
2019,Junio,201906,COR,Jaén,NACIONAL,"21,315"
2019,Junio,201906,COR,Jauja,NACIONAL,"19,654"
2019,Junio,201906,COR,Mazamari,NACIONAL,10
2019,Junio,201906,COR,Nazca,NACIONAL,"13,959"
2019,Junio,201906,COR,Rioja,NACIONAL,51
2019,Junio,201906,COR,Rodríguez de Mendoza,NACIONAL,14
2019,Junio,201906,COR,Tingo María,NACIONAL,"1,873"
2019,Junio,201906,COR,Tocache,NACIONAL,85
2019,Junio,201906,COR,Yurimaguas,NACIONAL,"1,525"
2019,Junio,201906,LAP,Lima,INTERNACIONAL,"688,433"
2019,Junio,201906,LAP,Lima,NACIONAL,"1,079,265"
2019,Junio,201906,LAP,Lima,TRANSFERENCIA Y TRANSITO,"147,893"
2019,Julio,201907,AAP,Arequipa,INTERNACIONAL,"2,266"
2019,Julio,201907,AAP,Arequipa,NACIONAL,"182,574"
2019,Julio,201907,AAP,Ayacucho,NACIONAL,"23,029"
2019,Julio,201907,AAP,Juliaca,NACIONAL,"39,495"
2019,Julio,201907,AAP,Puerto Maldonado,NACIONAL,"30,744"
2019,Julio,201907,AAP,Tacna,INTERNACIONAL,7
2019,Julio,201907,AAP,Tacna,NACIONAL,"43,650"
2019,Julio,201907,ADP,Cajamarca,NACIONAL,"46,513"
2019,Julio,201907,ADP,Chachapoyas,NACIONAL,"2,782"
2019,Julio,201907,ADP,Chiclayo,INTERNACIONAL,"1,523"
2019,Julio,201907,ADP,Chiclayo,NACIONAL,"61,367"
2019,Julio,201907,ADP,Huaraz-Anta,NACIONAL,109
2019,Julio,201907,ADP,Iquitos,INTERNACIONAL,7
2019,Julio,201907,ADP,Iquitos,NACIONAL,"105,193"
2019,Julio,201907,ADP,Pisco,INTERNACIONAL,34
2019,Julio,201907,ADP,Pisco,NACIONAL,"6,305"
2019,Julio,201907,ADP,Piura,INTERNACIONAL,72
2019,Julio,201907,ADP,Piura,NACIONAL,"104,125"
2019,Julio,201907,ADP,Pucallpa,NACIONAL,"63,919"
2019,Julio,201907,ADP,Talara,NACIONAL,"27,417"
2019,Julio,201907,ADP,Tarapoto,NACIONAL,"83,763"
2019,Julio,201907,ADP,Trujillo,INTERNACIONAL,63
2019,Julio,201907,ADP,Trujillo,NACIONAL,"56,487"
2019,Julio,201907,ADP,Tumbes,INTERNACIONAL,31
2019,Julio,201907,ADP,Tumbes,NACIONAL,"21,791"
2019,Julio,201907,COR,Atalaya,NACIONAL,"2,070"
2019,Julio,201907,COR,Cusco,INTERNACIONAL,"15,556"
2019,Julio,201907,COR,Cusco,NACIONAL,"365,755"
2019,Julio,201907,COR,Huánuco,NACIONAL,"4,953"
2019,Julio,201907,COR,Ilo,NACIONAL,"4,233"
2019,Julio,201907,COR,Jaén,NACIONAL,"23,356"
2019,Julio,201907,COR,Jauja,NACIONAL,"21,096"
2019,Julio,201907,COR,Nazca,NACIONAL,"21,328"
2019,Julio,201907,COR,Tingo María,NACIONAL,"2,459"
2019,Julio,201907,COR,Tocache,NACIONAL,44
2019,Julio,201907,COR,Yurimaguas,NACIONAL,"1,330"
2019,Julio,201907,LAP,Lima,INTERNACIONAL,"782,879"
2019,Julio,201907,LAP,Lima,NACIONAL,"1,194,076"
2019,Julio,201907,LAP,Lima,TRANSFERENCIA Y TRANSITO,"150,176"
2019,Agosto,201908,AAP,Arequipa,INTERNACIONAL,"2,002"
2019,Agosto,201908,AAP,Arequipa,NACIONAL,"198,937"
2019,Agosto,201908,AAP,Ayacucho,NACIONAL,"29,879"
2019,Agosto,201908,AAP,Juliaca,INTERNACIONAL,4
2019,Agosto,201908,AAP,Juliaca,NACIONAL,"44,575"
2019,Agosto,201908,AAP,Puerto Maldonado,NACIONAL,"33,606"
2019,Agosto,201908,AAP,Tacna,NACIONAL,"48,521"
2019,Agosto,201908,ADP,Cajamarca,NACIONAL,"51,326"
2019,Agosto,201908,ADP,Chachapoyas,NACIONAL,"2,615"
2019,Agosto,201908,ADP,Chiclayo,INTERNACIONAL,"1,297"
2019,Agosto,201908,ADP,Chiclayo,NACIONAL,"64,771"
2019,Agosto,201908,ADP,Huaraz-Anta,NACIONAL,67
2019,Agosto,201908,ADP,Iquitos,INTERNACIONAL,22
2019,Agosto,201908,ADP,Iquitos,NACIONAL,"120,207"
2019,Agosto,201908,ADP,Pisco,INTERNACIONAL,14
2019,Agosto,201908,ADP,Pisco,NACIONAL,"6,519"
2019,Agosto,201908,ADP,Piura,INTERNACIONAL,62
2019,Agosto,201908,ADP,Piura,NACIONAL,"117,812"
2019,Agosto,201908,ADP,Pucallpa,NACIONAL,"73,081"
2019,Agosto,201908,ADP,Talara,NACIONAL,"26,250"
2019,Agosto,201908,ADP,Tarapoto,NACIONAL,"87,092"
2019,Agosto,201908,ADP,Trujillo,INTERNACIONAL,28
2019,Agosto,201908,ADP,Trujillo,NACIONAL,"58,089"
2019,Agosto,201908,ADP,Tumbes,INTERNACIONAL,8
2019,Agosto,201908,ADP,Tumbes,NACIONAL,"24,699"
2019,Agosto,201908,COR,Andahuaylas,NACIONAL,20
2019,Agosto,201908,COR,Atalaya,NACIONAL,"2,256"
2019,Agosto,201908,COR,Cusco,INTERNACIONAL,"14,516"
2019,Agosto,201908,COR,Cusco,NACIONAL,"374,189"
2019,Agosto,201908,COR,Huánuco,NACIONAL,"5,401"
2019,Agosto,201908,COR,Ilo,NACIONAL,"4,019"
2019,Agosto,201908,COR,Jaén,NACIONAL,"25,598"
2019,Agosto,201908,COR,Jauja,NACIONAL,"20,512"
2019,Agosto,201908,COR,Nazca,NACIONAL,"22,370"
2019,Agosto,201908,COR,Rioja,NACIONAL,15
2019,Agosto,201908,COR,Tingo María,NACIONAL,"2,280"
2019,Agosto,201908,COR,Tocache,NACIONAL,78
2019,Agosto,201908,COR,Yurimaguas,NACIONAL,"1,894"
2019,Agosto,201908,LAP,Lima,INTERNACIONAL,"795,860"
2019,Agosto,201908,LAP,Lima,NACIONAL,"1,277,444"
2019,Agosto,201908,LAP,Lima,TRANSFERENCIA Y TRANSITO,"129,194"
